dt,x,y,position,velocity,acceleration,jerk,heading
1.0,224.26838890707506,136.4938102993739,-0.18610659787708286,-6.854446994029176,-121.97445824606933,145.97343502398985,0.0173778913002438
1.0,224.26149912022075,136.49369094193642,-0.19296104487111204,-6.97627277562846,-121.82578159928426,148.67664678507708,0.01737179128679384
1.0,224.2544851930739,136.49356943318836,-0.1999373176467405,-7.097947177369201,-121.67440174074073,151.3798585435211,0.017365581363191624
1.0,224.24734712563503,136.49344577309083,-0.2070352648241097,-7.219467496039638,-121.520318670437,154.08307030372725,0.017359261529437148
1.0,224.24008491790485,136.49331996160424,-0.21425473232014933,-7.340831028428011,-121.36353238837305,156.78628206396183,0.01735283178553043
1.0,224.2326985698839,136.49319199868836,-0.22159556334857733,-7.462035071322561,-121.20404289455067,159.48949382237743,0.01734629213147146
1.0,224.22518808157278,136.49306188430216,-0.2290575984198999,-7.583076921511529,-121.04185018896717,162.19270558349308,0.017339642567260234
1.0,224.2175534529722,136.49292961840402,-0.23664067534141142,-7.703953875783153,-120.87695427162437,164.89591734280395,0.01733288309289676
1.0,224.2097946840828,136.4927952009516,-0.24434462921719458,-7.824663230925676,-120.70935514252312,167.59912910124797,0.017326013708381032
1.0,224.2019117749051,136.49265863190186,-0.25216929244812025,-7.945202283727337,-120.53905280166077,170.3023408623494,0.017319034413713054
1.0,224.1939349710052,136.49252098065313,-0.2601144947318476,-8.065581862543123,-120.3795788157862,159.47398587456973,0.017310138741546972
1.0,224.18585151613652,136.4923817953539,-0.26818007659439075,-8.185794093870754,-120.21223132763126,167.34748815494527,0.01730008858093047
1.0,224.1776446497731,136.4922404831253,-0.2763658706882615,-8.305828906413007,-120.03481254225257,177.41878537869127,0.017289884982747306
1.0,224.16931437191624,136.49209704387806,-0.28467169959467453,-8.425683612006468,-119.85470559346112,180.1069487914475,0.01727952794699748
1.0,224.16086068256732,136.49195147752167,-0.293097383206681,-8.545355522487725,-119.67191048125692,182.79511220420375,0.017269017473680984
1.0,224.15228358172772,136.49180378396414,-0.3016427387291687,-8.66484194969336,-119.48642720563463,185.48327562228906,0.01725835356279783
1.0,224.1435830693988,136.4916539631123,-0.31030758067886205,-8.784140205459957,-119.2982557665978,188.17143903682165,0.017247536214348012
1.0,224.13475914558205,136.49150201487151,-0.319091720884322,-8.903247601624106,-119.10739616414823,190.8596024495779,0.017236565428331522
1.0,224.12581181027886,136.49134793914584,-0.3279949684859461,-9.022161450022388,-118.91384839828234,193.54776586588684,0.01722544120474838
1.0,224.11674106349068,136.49119173583802,-0.3370171299359685,-9.14087906249139,-118.71761246900192,196.23592928041944,0.017214163543598563
1.0,224.10758402440715,136.4910349094071,-0.3461580089984599,-9.25941643269875,-118.53737020735977,180.24226164214951,0.01720051524468653
1.0,224.0983211668996,136.4908766669192,-0.3554174254311586,-9.377761661345623,-118.34522864687358,192.14156048619202,0.017185662642409897
